sep=,
Date,Time,Item,SKU,Quantity,Unit price,Total discount,Unit cost price,Gross profit,Total (incl tax),Status
2025/02/06,12:17:57,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/06,12:04:16,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/06,11:52:33,Tilda Swinton,MM-TSW,2,35.00,0.00,,,70.00,Approved
2025/02/06,11:32:28,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/06,11:32:28,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/06,11:31:53,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/06,11:28:17,Ed Sheeran,MM-EDS,2,42.00,0.00,,,84.00,Approved
2025/02/06,11:18:19,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/06,11:13:42,Justin Bieber,MM-JBB,1,13.00,0.00,,,13.00,Approved
2025/02/06,11:01:00,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/06,10:56:46,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/06,10:08:39,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/06,10:00:23,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/06,09:11:27,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/06,09:00:50,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/06,08:46:14,Beyoncé,MM-BEY,1,40.00,0.00,,,40.00,Approved
2025/02/06,08:43:27,Barry White,MM-BAW,1,35.00,0.00,,,35.00,Approved
2025/02/06,08:37:12,Siya Kolisi,MM-SYK,3,40.00,0.00,,,120.00,Approved
2025/02/06,08:26:58,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/06,08:23:38,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/06,08:09:43,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/06,08:01:39,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/06,07:44:47,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/06,07:42:19,Syrup,MM-SYR,2,7.00,0.00,,,14.00,Approved
2025/02/06,07:42:19,Barry White,MM-BAW,2,35.00,0.00,,,70.00,Approved
2025/02/06,07:20:00,Danny De Vito,MM-DDV,1,25.00,0.00,,,25.00,Approved
2025/02/06,07:18:09,Danny De Vito,MM-DDV,1,25.00,0.00,,,25.00,Approved
2025/02/05,15:22:03,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/05,13:56:06,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/05,13:38:16,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/05,13:31:23,Siya Kolisi,MM-SYK,3,40.00,0.00,,,120.00,Approved
2025/02/05,11:35:31,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/05,10:29:36,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/05,09:38:43,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/05,08:46:30,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/05,08:11:58,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/05,07:57:58,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/05,07:52:22,Syrup,MM-SYR,1,7.00,0.00,,,7.00,Approved
2025/02/05,07:52:22,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/05,07:49:05,Syrup,MM-SYR,2,7.00,0.00,,,14.00,Approved
2025/02/05,07:49:05,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/05,07:18:30,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/04,13:25:20,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/04,12:40:46,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/04,11:48:57,Beyoncé,MM-BEY,1,40.00,0.00,,,40.00,Approved
2025/02/04,11:48:57,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/04,11:48:57,Alt Milk,MM-ALT,1,10.00,0.00,,,10.00,Approved
2025/02/04,10:18:20,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/04,09:17:55,Magic Johnson,MM-MAG,2,30.00,0.00,,,60.00,Approved
2025/02/04,09:08:25,Barry White,MM-BAW,1,35.00,0.00,,,35.00,Approved
2025/02/04,08:24:53,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/04,08:10:42,Lewis Hamilton,MM-LEW,2,30.00,0.00,,,60.00,Approved
2025/02/04,08:07:08,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/04,07:42:07,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/04,07:38:23,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/04,07:26:49,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/04,07:24:45,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/03,15:59:46,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/03,13:38:35,Iced Krushers (Mango),IK001,1,35.00,0.00,,,35.00,Approved
2025/02/03,13:05:33,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/03,13:00:30,MmFreeze,MM-FRZ,1,45.00,0.00,,,45.00,Approved
2025/02/03,12:09:01,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/03,12:09:01,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
